开机激活,#genre#
AKTV,https://aktv.top/live.m3u
IILL,https://tv.iill.top/m3u/Gather
mytvsuper,https://www.mytvsuper.xyz/m3u/Live.m3u
常用频道,#genre#
凤凰资讯伴音,https://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰中文伴音,https://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
cctv13伴音,https://piccpndali.v.myalicdn.com/audio/cctv13_2.m3u8
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw#http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8#http://kxrj.site:1333/86/fh.php?id=fhzw#p3p://108.181.32.169:23524/6410229e000655dd98612e41401e3e7d#http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8#http://1b6467f415.iok.la:9931/tsfile/live/1037_1.m3u8#http://211.72.65.236:8577/.m3u8
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx#http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8#http://kxrj.site:1333/86/fh.php?id=fhzx#p3p://108.181.32.169:23524/641fd7b400080236d5bc536f5d82159c#p3p://108.181.32.169:23524/641022be000e5cc69861ad4f5a025336#http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8#http://122.224.232.226:8888/udp/233.50.200.192:5140#http://211.72.65.236:8576/.m3u8
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn#http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8#http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
cctv13,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000345/index.m3u8?IASHttpSessionId=#http://kxrj.site:1333/86/mg.php?id=cctv13#http://lives.jnnews.tv/video/s10001-cctv/index.m3u8#http://182.92.109.190:1668/migu720/migu720.php?id=cctv13#p3p://108.181.32.169:23524/64260e45000ccab2ee01428e6da4043d#http://218.13.170.98:9901/tsfile/live/0013_1.m3u8
中天新闻,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8#https://ghp.ci/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8#http://litv.zapi.us.kg/?id=4gtv-4gtv009#p3p://108.181.32.169:23524/64252571000be01dea73c63b5616781e#p3p://108.181.32.169:23524/642590050003b317ec1416371a246f3d#http://211.72.65.236:8541/.m3u8
年代新闻,p3p://108.181.32.169:23524/645b2569000acf2fbd624de55e212fb2#http://211.72.65.236:8539/.m3u8
东森新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv152#p3p://108.181.32.169:23524/64251f9700046520ea5ce8b85b6c11da#http://211.72.65.236:8540/.m3u8
华视新闻,https://stream1.freetv.fun/hua-shi-xin-wen-5.m3u8
三立新闻,p3p://108.181.32.169:23524/64251e23000bcd04ea573d7c0f0a002e#http://211.72.65.236:8543/.m3u8
TVBS新闻,p3p://108.181.32.169:23524/64252188000673fcea647eb0397d464d#http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8#http://61.221.215.25:8800/hls/9/index.m3u8
寰宇新聞,p3p://108.181.32.169:23524/64295eb60008744efaf37ae07d17520b#http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
非凡新闻,p3p://108.181.32.169:23524/64258e8600060f7eec0e3ebd6c49020e
民视新闻,p3p://108.181.32.169:23524/64c859e10007934267f487ac0fa618e0
中视新闻,p3p://108.181.32.169:23524/642d016e000643ab0926e0907da252ca
壹新闻,p3p://108.181.32.169:23524/642521bd0005dfe9ea654d921969472d
無線新聞,http://php.jdshipin.com/smt.php?id=inews_twn#http://cdn9.1689.us.kg/smt1.1.php?id=inews_twn#p3p://108.181.32.169:23524/6533fd5600043bdb2d1c8c0729c35d0c#p3p://108.181.32.169:23524/6533f9fb00006d352d0f6f9235041f8d#http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
NOW新闻台,p3p://108.181.32.169:23524/6410254c0006df63986ba60f292a7500
陈翔六点半,http://120.77.28.4:8648/huya.php?id=11274154#http://diyp.zxxoo.work/huya/11274154
宋小宝,http://159.75.85.63:35455/yy/1354931577#http://159.75.85.63:35455/yy/1354936198#http://159.75.85.63:35455/yy/1382736866
鹿鼎记,http://159.75.85.63:35455/yy/28265277#http://120.77.28.4:8648/huya.php?id=23865080#http://diyp.zxxoo.work/huya/23865080
掼蛋精英赛,http://182.92.109.190:1668/migu720/migu720.php?id=gdjys#http://kxrj.site:1333/86/mg.php?id=gdjys
高清频道,#genre#
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
無線衛星新聞台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
无线新闻台(北美),http://aktv.top/AKTV/live/aktv2/null-1/AKTV.m3u8
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
Hoy 78,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
